,movie_id,title,overview,genres,keywords,cast,crew,tags,gnr1
902,9390,Jerry Maguire,"['Jerry', 'Maguire', 'used', 'to', 'be', 'a', 'typical', 'sports', 'agent:', 'willing', 'to', 'do', 'just', 'about', 'anything', 'he', 'could', 'to', 'get', 'the', 'biggest', 'possible', 'contracts', 'for', 'his', 'clients,', 'plus', 'a', 'nice', 'commission', 'for', 'himself.', 'Then,', 'one', 'day,', 'he', 'suddenly', 'has', 'second', 'thoughts', 'about', 'what', ""he's"", 'really', 'doing.', 'When', 'he', 'voices', 'these', 'doubts,', 'he', 'ends', 'up', 'losing', 'his', 'job', 'and', 'all', 'of', 'his', 'clients,', 'save', 'Rod', 'Tidwell,', 'an', 'egomaniacal', 'football', 'player.']","['Comedy', 'Drama', 'Romance']","['stadium', 'career', 'sport', 'sportsagent']","['TomCruise', 'CubaGoodingJr.', 'RenéeZellweger']",['CameronCrowe'],"['Jerry', 'Maguire', 'used', 'to', 'be', 'a', 'typical', 'sports', 'agent:', 'willing', 'to', 'do', 'just', 'about', 'anything', 'he', 'could', 'to', 'get', 'the', 'biggest', 'possible', 'contracts', 'for', 'his', 'clients,', 'plus', 'a', 'nice', 'commission', 'for', 'himself.', 'Then,', 'one', 'day,', 'he', 'suddenly', 'has', 'second', 'thoughts', 'about', 'what', ""he's"", 'really', 'doing.', 'When', 'he', 'voices', 'these', 'doubts,', 'he', 'ends', 'up', 'losing', 'his', 'job', 'and', 'all', 'of', 'his', 'clients,', 'save', 'Rod', 'Tidwell,', 'an', 'egomaniacal', 'football', 'player.', 'Comedy', 'Drama', 'Romance', 'stadium', 'career', 'sport', 'sportsagent', 'TomCruise', 'CubaGoodingJr.', 'RenéeZellweger', 'CameronCrowe']",Comedy
374,46195,Rio,"['Captured', 'by', 'smugglers', 'when', 'he', 'was', 'just', 'a', 'hatchling,', 'a', 'macaw', 'named', 'Blu', 'never', 'learned', 'to', 'fly', 'and', 'lives', 'a', 'happily', 'domesticated', 'life', 'in', 'Minnesota', 'with', 'his', 'human', 'friend,', 'Linda.', 'Blu', 'is', 'thought', 'to', 'be', 'the', 'last', 'of', 'his', 'kind,', 'but', 'when', 'word', 'comes', 'that', 'Jewel,', 'a', 'lone', 'female,', 'lives', 'in', 'Rio', 'de', 'Janeiro,', 'Blu', 'and', 'Linda', 'go', 'to', 'meet', 'her.', 'Animal', 'smugglers', 'kidnap', 'Blu', 'and', 'Jewel,', 'but', 'the', 'pair', 'soon', 'escape', 'and', 'begin', 'a', 'perilous', 'adventure', 'back', 'to', 'freedom', '--', 'and', 'Linda.']","['Animation', 'Adventure', 'Comedy', 'Family']","['brazil', 'pet', 'bird', 'musical', 'canary', 'samba', 'animal', 'duringcreditsstinger', 'rio1', 'río1']","['JesseEisenberg', 'AnneHathaway', 'LeslieMann']",['CarlosSaldanha'],"['Captured', 'by', 'smugglers', 'when', 'he', 'was', 'just', 'a', 'hatchling,', 'a', 'macaw', 'named', 'Blu', 'never', 'learned', 'to', 'fly', 'and', 'lives', 'a', 'happily', 'domesticated', 'life', 'in', 'Minnesota', 'with', 'his', 'human', 'friend,', 'Linda.', 'Blu', 'is', 'thought', 'to', 'be', 'the', 'last', 'of', 'his', 'kind,', 'but', 'when', 'word', 'comes', 'that', 'Jewel,', 'a', 'lone', 'female,', 'lives', 'in', 'Rio', 'de', 'Janeiro,', 'Blu', 'and', 'Linda', 'go', 'to', 'meet', 'her.', 'Animal', 'smugglers', 'kidnap', 'Blu', 'and', 'Jewel,', 'but', 'the', 'pair', 'soon', 'escape', 'and', 'begin', 'a', 'perilous', 'adventure', 'back', 'to', 'freedom', '--', 'and', 'Linda.', 'Animation', 'Adventure', 'Comedy', 'Family', 'brazil', 'pet', 'bird', 'musical', 'canary', 'samba', 'animal', 'duringcreditsstinger', 'rio1', 'río1', 'JesseEisenberg', 'AnneHathaway', 'LeslieMann', 'CarlosSaldanha']",Animation
3666,13849,The Cottage,"['In', 'a', 'remote', 'part', 'of', 'the', 'countryside,', 'a', 'bungled', 'kidnapping', 'turns', 'into', 'a', 'living', 'nightmare', 'for', 'four', 'central', 'characters', 'when', 'they', 'cross', 'paths', 'with', 'a', 'psychopathic', 'farmer', 'and', 'all', 'hell', 'breaks', 'loose.']","['Horror', 'Comedy', 'Crime', 'Thriller']","['ransom', 'hostage', 'hostagedrama']","['AndySerkis', 'ReeceShearsmith', 'JenniferEllison']",['PaulAndrewWilliams'],"['In', 'a', 'remote', 'part', 'of', 'the', 'countryside,', 'a', 'bungled', 'kidnapping', 'turns', 'into', 'a', 'living', 'nightmare', 'for', 'four', 'central', 'characters', 'when', 'they', 'cross', 'paths', 'with', 'a', 'psychopathic', 'farmer', 'and', 'all', 'hell', 'breaks', 'loose.', 'Horror', 'Comedy', 'Crime', 'Thriller', 'ransom', 'hostage', 'hostagedrama', 'AndySerkis', 'ReeceShearsmith', 'JenniferEllison', 'PaulAndrewWilliams']",Horror
4630,250184,Locker 13,"['The', 'story', 'of', 'Skip,', 'a', 'young', 'ex-convict', 'who', 'takes', 'a', 'position', 'as', 'a', 'night', 'janitor', 'at', 'an', 'old-west', 'theme', 'park.', 'His', 'supervisor', 'Archie,', 'teaches', 'him', 'the', 'ropes,', 'but', 'more', 'importantly', 'attempts', 'to', 'convey', 'critical', 'philosophical', 'messages', 'through', 'a', 'series', 'of', 'four', 'stories:', 'a', 'down', 'and', 'out', 'boxer', 'is', 'given', 'the', 'opportunity', 'to', 'become', 'a', 'real', 'golden', 'gloves', 'killer;', 'an', 'assassin', 'kidnaps', 'three', 'people', 'in', 'order', 'to', 'find', 'out', 'who', 'hired', 'him', 'for', 'his', 'latest', 'hit;', 'a', 'new', 'recruit', 'is', 'initiated', 'into', 'a', 'lodge', 'of', 'fez-wearing', 'businessmen', 'where', 'hazing', 'can', 'take', 'a', 'malevolent', 'turn;', 'and', 'a', 'member', 'of', 'a', 'suicide', 'club', 'introduces', 'real', 'fear', 'into', 'a', 'man', 'about', 'to', 'jump', 'to', 'his', 'death.']","['Horror', 'Drama', 'Thriller']","['terror', 'anthology', 'suspense']","['RickySchroder', 'JonGries', 'TatyanaAli']","['JasonMarsden', 'BruceDellis']","['The', 'story', 'of', 'Skip,', 'a', 'young', 'ex-convict', 'who', 'takes', 'a', 'position', 'as', 'a', 'night', 'janitor', 'at', 'an', 'old-west', 'theme', 'park.', 'His', 'supervisor', 'Archie,', 'teaches', 'him', 'the', 'ropes,', 'but', 'more', 'importantly', 'attempts', 'to', 'convey', 'critical', 'philosophical', 'messages', 'through', 'a', 'series', 'of', 'four', 'stories:', 'a', 'down', 'and', 'out', 'boxer', 'is', 'given', 'the', 'opportunity', 'to', 'become', 'a', 'real', 'golden', 'gloves', 'killer;', 'an', 'assassin', 'kidnaps', 'three', 'people', 'in', 'order', 'to', 'find', 'out', 'who', 'hired', 'him', 'for', 'his', 'latest', 'hit;', 'a', 'new', 'recruit', 'is', 'initiated', 'into', 'a', 'lodge', 'of', 'fez-wearing', 'businessmen', 'where', 'hazing', 'can', 'take', 'a', 'malevolent', 'turn;', 'and', 'a', 'member', 'of', 'a', 'suicide', 'club', 'introduces', 'real', 'fear', 'into', 'a', 'man', 'about', 'to', 'jump', 'to', 'his', 'death.', 'Horror', 'Drama', 'Thriller', 'terror', 'anthology', 'suspense', 'RickySchroder', 'JonGries', 'TatyanaAli', 'JasonMarsden', 'BruceDellis']",Horror
3935,252,Willy Wonka & the Chocolate Factory,"['Eccentric', 'candy', 'man', 'Willy', 'Wonka', 'prompts', 'a', 'worldwide', 'frenzy', 'when', 'he', 'announces', 'that', 'golden', 'tickets', 'hidden', 'inside', 'five', 'of', 'his', 'delicious', 'candy', 'bars', 'will', 'admit', 'their', 'lucky', 'holders', 'into', 'his', 'top-secret', 'confectionary.', 'But', 'does', 'Wonka', 'have', 'an', 'agenda', 'hidden', 'amid', 'a', 'world', 'of', 'Oompa', 'Loompas', 'and', 'chocolate', 'rivers?']","['Family', 'Fantasy']","['chocolate', 'factoryworker', 'basedonnovel', 'candy', 'tvaddictedperson', 'overweightchild', 'grandfathergrandsonrelationship', 'factory', 'musical', 'single', 'teacher']","['GeneWilder', 'JackAlbertson', 'PeterOstrum']",['MelStuart'],"['Eccentric', 'candy', 'man', 'Willy', 'Wonka', 'prompts', 'a', 'worldwide', 'frenzy', 'when', 'he', 'announces', 'that', 'golden', 'tickets', 'hidden', 'inside', 'five', 'of', 'his', 'delicious', 'candy', 'bars', 'will', 'admit', 'their', 'lucky', 'holders', 'into', 'his', 'top-secret', 'confectionary.', 'But', 'does', 'Wonka', 'have', 'an', 'agenda', 'hidden', 'amid', 'a', 'world', 'of', 'Oompa', 'Loompas', 'and', 'chocolate', 'rivers?', 'Family', 'Fantasy', 'chocolate', 'factoryworker', 'basedonnovel', 'candy', 'tvaddictedperson', 'overweightchild', 'grandfathergrandsonrelationship', 'factory', 'musical', 'single', 'teacher', 'GeneWilder', 'JackAlbertson', 'PeterOstrum', 'MelStuart']",Family
